procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 569756 538512  87060 4040248   1    5    58    11    0  189  1  1 97  0
 0  0 569756 520160  87076 4040508   0    0     0   108    0 8398 10  6 85  0
 1  0 569756 527304  87076 4040516   0    0     0   644    0 2299  3  2 95  0
 3  0 569756 525680  87092 4040616   0    0     0   184    0 10730 9  7 84  0
 0  0 569756 540840  87092 4040620   0    0     0     0    0 5911  3  5 92  0
 0  0 569756 532492  87108 4040712  12    0     0   412    0 13926 16 10 74 0
 1  0 569756 531088  87116 4040784   0    0     0   100    0 10660 6  6 88  0
 0  0 569756 516668  87116 4041080   0    0     0   464    0 11286 11 8 81  0
 1  0 569756 514932  87116 4041104   0    0     0     0    0 9791  5  6 90  0
 2  0 569756 493184  87116 4041228   0    0     0     0    0 8369  8  6 86  0
 0  0 569756 455552  87140 4041328   0    0     0   780    0 7809  7  8 85  0
 0  0 569756 455660  87140 4041328   0    0     0     0    0 1118  0  2 98  0
 2  0 569756 455428  87140 4041332   0    0     0   400    0 1665  2  2 96  0
 3  0 569756 455412  87140 4041372   0    0     0     0    0 9808  6  7 87  0
 0  0 569756 454916  87140 4041388   0    0     0     0    0 8494  4  5 91  0
 1  0 569756 448420  87140 4041484   0    0     0     0    0 9348  7  6 87  0
 2  0 569756 448048  87148 4041496   0    0     0   124    0 8473  4  5 92  0
 0  0 569756 424784  87148 4041720   0    0     0   252    0 9583  8  6 86  0
 1  0 569756 424660  87148 4041748   0    0     0     0    0 8981  5  5 90  0
 2  0 569756 407388  87148 4042120   0    0     0     0    0 9185  9  8 83  0
 0  0 569756 387748  87148 4042140   0    0     0     0    0 7167  4  7 89  0
 1  0 569756 387668  87148 4042140   0    0     0     0    0 1234  1  2 97  0
 1  0 569756 387668  87156 4042140   0    0     0   512    0 1020  0  2 98  0
 0  0 569756 387544  87156 4042140   0    0     0    84    0 1009  1  1 98  0
 2  0 569756 387560  87156 4042140   0    0     0     0    0 1300  1  1 98  0
 0  0 569756 391420  87156 4042140   0    0     0     0    0 1229  1  2 97  0
 1  0 569756 391480  87156 4042140   0    0     0     0    0 1541  1  4 95  0
 1  0 569756 391820  87156 4042140   0    0     0    64    0 1647  1  2 96  0
 0  0 569756 391760  87164 4042140   0    0     0    56    0 1085  0  1 98  0
 0  0 569756 391760  87164 4042140   0    0     0     0    0  851  1  1 98  0
 0  0 569756 391636  87164 4042140   0    0     0     0    0 1288  0  2 98  0
 1  0 569756 391636  87164 4042140   0    0     0     0    0 1202  0  1 98  0
 3  0 569756 391264  87164 4042140   0    0     0     0    0 1001  1  2 98  0
 0  0 569756 391264  87164 4042140   0    0     0    48    0 1051  0  1 98  0
 0  0 569756 391156  87164 4042140   0    0     0     0    0 1899  2  2 96  0
 0  0 569756 390892  87164 4042140   0    0     0     0    0 1359  1  2 97  0
 0  0 569756 390892  87164 4042140   0    0     0     0    0 1063  0  1 98  0
 0  0 569756 390520  87164 4042140   0    0     0     0    0 1546  1  2 97  0
 0  0 569756 390504  87164 4042140   0    0     0     0    0 1108  1  2 98  0
 0  0 569756 390520  87164 4042140   0    0     0     0    0  890  0  1 98  0
 0  0 569756 390148  87164 4042140   0    0     0     0    0 1821  1  2 97  0
 0  0 569756 390024  87164 4042140   0    0     0     0    0  952  1  1 98  0
 1  0 569756 389776  87164 4042140   0    0     0     0    0  950  1  1 98  0
 0  0 569756 389652  87164 4042140   0    0     0     0    0 1176  1  2 98  0
 1  0 569756 389528  87164 4042140   0    0     0     0    0  972  1  1 98  0
