procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 562588 536036  96124 4059348   1    4    53    11    0  197  1  1 97  0
 1  0 562588 535188  96132 4059348   0    0     0   180    0 3179  2  3 96  0
 2  0 562588 532636  96140 4059352   0    0     0    60    0 2744  1  2 97  0
 0  0 562588 532636  96140 4059352   0    0     0     0    0  821  0  1 99  0
 0  0 562588 532636  96140 4059352   0    0     0     0    0  830  0  1 99  0
 0  0 562588 532636  96140 4059352   0    0     0     0    0  778  0  1 99  0
 1  0 562588 532388  96140 4059352   0    0     0    56    0 1190  2  2 97  0
 2  0 562588 532384  96144 4059352   0    0     0    56    0  912  0  1 99  0
 0  0 562588 532448  96144 4059352   0    0     0     0    0  871  1  1 99  0
 1  0 562588 520060  96156 4059356   4    0     0   324    1 5295  9  9 82  0
 1  0 562588 519800  96156 4059368   0    0     0     0    0 1416  1  1 98  0
 0  0 562588 521536  96156 4059368   0    0     0     0    0 1154  4  2 94  0
 0  0 562588 521504  96156 4059368   0    0     0   248    0  833  0  1 98  0
 1  0 562588 521504  96156 4059368   0    0     0     0    0 1003  1  1 98  0
 4  0 562588 519552  96156 4059368   0    0     0     0    0 3300  3  3 94  0
