procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 564636 610844  93676 4020824   1    5    53    11    0  194  1  1 97  0
 0  0 564636 610916  93676 4020824   0    0     0     0    0 1062  1  1 98  0
 2  0 564636 608560  93676 4020824   4    0     0    56    0 3634  5  4 91  0
 2  0 564636 606700  93676 4020824   0    0     0   180    0 3770  3  3 94  0
 0  0 564636 606700  93676 4020824   0    0     0   124    0  958  0  1 99  0
 1  0 564636 606500  93676 4020824   0    0     0     0    0 1480  1  2 97  0
 1  0 564636 595596  93680 4020796   8    0     0    60    0 9937  9  9 82  0
 1  0 564636 595728  93680 4020864   0    0     0     0    0 1241  1  2 97  0
 0  0 564636 595160  93680 4020868   0    0     0     0    0 1669  2  3 95  0
 2  0 564636 595236  93680 4020868   0    0     0     0    0 1094  1  1 98  0
 1  0 564636 578228  93704 4020904   4    0     0   512    0 5443  6  6 88  0
 1  0 564636 581232  93724 4020860   0    0     0   388    0 8715  7  8 85  0
 1  0 564636 582156  93724 4020880   0    0     0     0    0 1103  2  2 96  0
 1  0 564636 582084  93724 4020880   0    0     0   164    0 1210  1  1 98  0
 4  0 564636 579596  93724 4020880   0    0     0    96    0 3255  2  3 95  0
