procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 569756 590332  88380 4056252   1    5    55    10    0  188  1  1 97  0
 0  0 569756 590208  88380 4056252   0    0     0     0    0  922  1  1 99  0
 0  0 569756 589960  88380 4056252   0    0     0    16    0  940  1  1 98  0
 0  0 569756 589960  88380 4056252   0    0     0     0    0  884  1  2 98  0
 0  0 569756 589588  88380 4056252   0    0     0     0    0 1069  1  1 98  0
 0  0 569756 589448  88380 4056256   4    0     0     0    0  944  2  2 96  0
 2  0 569756 589432  88380 4056256   0    0     0     0    0 2164  1  1 98  0
 0  0 569756 589216  88380 4056256   0    0     0     0    0  844  0  1 99  0
 0  0 569756 588844  88380 4056256   0    0     0     4    0 1242  1  1 98  0
 0  0 569756 588844  88380 4056256   0    0     0     0    0  737  0  1 99  0
