procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 569500 692700  82252 4136528   2    6    68    12    0  192  1  1 97  0
 0  0 569500 692700  82252 4136528   0    0     0     0    0  780  1  1 98  0
 1  0 569500 692700  82252 4136528   0    0     0     0    0  938  1  1 99  0
 0  0 569500 692452  82252 4136528   0    0     0     0    0  777  0  1 99  0
 0  0 569500 692328  82252 4136528   0    0     0     0    0 1073  0  1 98  0
 0  0 569500 691708  82252 4136528   0    0     0     0    0 1242  1  2 97  0
 0  0 569500 691708  82252 4136528   0    0     0     0    0  875  0  1 99  0
 0  0 569500 691708  82252 4136528   0    0     0     0    0  770  0  1 99  0
 1  0 569500 691708  82252 4136528   0    0     0     0    0  937  1  1 98  0
 0  0 569500 694684  82252 4136528   0    0     0     0    0 2422  3  3 94  0
